county_name,white_denial_pct,black_denial_pct,hispanic_denial_pct,black_white_gap_pct,hispanic_white_gap_pct,white_app_count,black_app_count,hispanic_app_count
Hyde,26.2,86.7,80.0,60.5,53.8,84,15,10
Pender,15.1,74.1,43.1,59.0,28.1,3711,378,218
Chowan,16.7,75.0,23.1,58.3,6.4,438,120,13
Surry,20.2,75.9,41.6,55.8,21.4,2049,54,190
Halifax,22.5,75.2,56.8,52.7,34.3,614,906,37
Pamlico,15.0,67.6,50.0,52.7,35.0,468,68,12
Beaufort,13.8,66.2,38.5,52.4,24.7,1512,328,65
Northampton,24.0,70.3,80.0,46.3,56.0,221,380,10
Craven,11.8,57.5,41.8,45.7,30.0,3400,513,153
Perquimans,21.1,66.7,55.6,45.5,34.4,421,90,9
Camden,13.6,57.9,42.9,44.3,29.3,332,19,7
Greene,22.5,66.5,58.3,44.0,35.8,338,188,60
Columbus,37.4,81.3,68.7,43.9,31.3,1097,667,99
Hoke,15.6,59.6,26.4,43.9,10.8,467,564,140
Moore,8.8,52.6,27.2,43.8,18.4,3673,251,184
Montgomery,19.5,62.5,39.3,43.0,19.8,804,152,122
Brunswick,11.7,54.5,36.0,42.8,24.3,11204,679,420
Sampson,29.5,71.4,48.9,42.0,19.5,1049,560,329
Bertie,13.6,54.7,50.0,41.2,36.4,214,307,2
Duplin,34.1,75.2,59.7,41.0,25.6,1017,443,263
Bladen,35.4,76.3,60.6,40.9,25.2,582,448,71
Dare,9.4,50.0,27.6,40.6,18.2,1651,22,58
Warren,13.4,53.8,37.9,40.3,24.5,328,253,29
Pitt,8.3,48.5,24.9,40.2,16.6,4358,2165,410
Gates,28.7,68.5,100.0,39.8,71.3,195,89,4
Currituck,12.0,51.7,25.6,39.7,13.7,1230,60,39
Polk,14.3,53.3,32.7,39.0,18.3,899,30,52
Martin,22.9,61.3,53.8,38.5,31.0,389,282,26
Hertford,11.7,50.1,33.3,38.5,21.7,223,339,6
Scotland,30.8,69.3,51.1,38.4,20.3,483,475,45
Wilkes,25.5,62.8,43.4,37.3,17.9,2000,43,145
Anson,23.9,60.9,33.3,37.0,9.5,373,358,75
Swain,24.1,60.0,36.4,35.9,12.3,365,5,11
Jones,35.8,70.9,50.0,35.1,14.2,265,86,6
Pasquotank,19.4,54.5,38.1,35.1,18.7,936,378,42
Nash,15.4,50.4,27.8,34.9,12.4,2070,1424,371
Washington,25.9,60.8,44.4,34.9,18.6,174,125,9
Richmond,26.9,61.5,44.4,34.6,17.6,848,629,108
Tyrrell,36.8,71.4,22.7,34.6,-14.1,125,42,22
Henderson,12.4,46.2,35.1,33.8,22.6,5673,132,425
Buncombe,13.6,45.3,34.1,31.7,20.5,12027,331,748
Robeson,45.1,76.6,66.3,31.5,21.1,1101,1828,421
