jurisdiction,avg_evictions_per_1000,total_evictions,avg_population,years_reported
Edgecombe,26.900339385605648,5567,52303,4
Nash,23.01525647134329,8588,93210.5,4
Robeson,21.503446588758333,6276,72673.5,4
Wilson,20.386502006933256,6476,79327.5,4
Mecklenburg,19.819752076268934,85305,1070785.5,4
Guilford,19.420982260787476,40309,517510,4
Pitt,19.230509766694826,13443,174046.75,4
Lenoir,18.416761080827087,4037,54712.75,4
Cumberland,18.057842518777452,22656,313378.75,4
Vance,17.828219382520842,3767,63832.25,4
Forsyth,16.61945159851691,24790,372262.5,4
Durham,13.767555224770508,17168,311029,4
Gaston,12.906555126127877,11349,219907.75,4
Cabarrus,10.912951297162092,9323,212962,4
Alamance,10.813922082255996,7187,165995.5,4
