jurisdiction,count_American_Indian_Alaska_Native,percent_American_Indian_Alaska_Native,count_Asian,percent_Asian,count_Hispanic,percent_Hispanic,count_Native_Hawaiian_Pacific_Islander,percent_Native_Hawaiian_Pacific_Islander,count_Black,percent_Black,count_White,percent_White
Alamance,2586,1.50%,3347,1.90%,23821,13.70%,194,0.10%,36578,21.00%,"106,240",61.10%
Alexander,223,0.60%,424,1.20%,1910,5.20%,24,0.10%,2142,5.80%,"31,466",85.90%
Alleghany,71,0.60%,88,0.80%,1125,10.20%,5,0.00%,175,1.60%,"9,517",86.10%
Anson,221,1.00%,360,1.60%,1047,4.70%,15,0.10%,10358,47.00%,"9,813",44.50%
Ashe,142,0.50%,131,0.50%,1460,5.50%,21,0.10%,228,0.90%,"24,505",91.70%
Avery,126,0.70%,124,0.70%,937,5.20%,16,0.10%,842,4.70%,"15,698",87.90%
Beaufort,520,1.20%,272,0.60%,3800,8.50%,40,0.10%,10372,23.30%,"29,257",65.80%
Bertie,152,0.90%,143,0.80%,428,2.40%,16,0.10%,10582,60.50%,"6,039",34.50%
Bladen,1049,3.60%,150,0.50%,2435,8.20%,15,0.10%,9593,32.50%,"16,113",54.60%
Brunswick,1277,0.90%,1190,0.80%,7415,5.10%,181,0.10%,13264,9.20%,"118,959",82.50%
Buncombe,1607,0.60%,3984,1.50%,19508,7.20%,477,0.20%,16095,5.90%,"225,222",82.90%
Burke,882,1.00%,3322,3.80%,6024,6.90%,662,0.80%,5681,6.50%,"70,778",80.80%
Cabarrus,1763,0.80%,13287,5.70%,27043,11.70%,242,0.10%,46189,20.00%,"139,332",60.20%
Caldwell,549,0.70%,655,0.80%,5191,6.50%,96,0.10%,4042,5.00%,"69,049",85.80%
Camden,54,0.50%,204,1.90%,412,3.80%,12,0.10%,1136,10.50%,"8,710",80.40%
Carteret,491,0.70%,816,1.20%,3215,4.70%,134,0.20%,3469,5.10%,"59,265",86.50%
Caswell,202,0.90%,153,0.70%,1113,4.90%,7,0.00%,7134,31.40%,"13,828",60.90%
Catawba,1011,0.60%,7819,4.80%,17054,10.50%,257,0.20%,13642,8.40%,"119,727",74.00%
Chatham,979,1.30%,1894,2.40%,9470,12.20%,138,0.20%,8800,11.30%,"56,172",72.10%
Cherokee,511,1.80%,208,0.70%,1109,3.80%,16,0.10%,440,1.50%,"26,327",90.30%
Chowan,76,0.60%,108,0.80%,529,3.90%,36,0.30%,4537,33.10%,"8,293",60.40%
Clay,72,0.60%,46,0.40%,420,3.70%,6,0.10%,140,1.20%,"10,439",92.30%
Cleveland,450,0.40%,1157,1.20%,4368,4.40%,36,0.00%,20734,20.70%,"72,130",71.90%
Columbus,2017,4.00%,308,0.60%,3007,6.00%,56,0.10%,14819,29.60%,"29,383",58.70%
Craven,679,0.70%,3038,3.00%,8018,8.00%,212,0.20%,20501,20.40%,"65,851",65.40%
Cumberland,6779,2.00%,9004,2.70%,42466,12.70%,1554,0.50%,126643,37.70%,"137,315",40.90%
Currituck,248,0.80%,335,1.10%,1519,5.10%,31,0.10%,1591,5.40%,"25,400",85.70%
Dare,268,0.70%,365,1.00%,2877,7.60%,25,0.10%,929,2.50%,"32,889",86.90%
Davidson,1484,0.90%,3065,1.80%,13731,8.00%,144,0.10%,16959,9.90%,"133,409",78.20%
Davie,325,0.70%,409,0.90%,3337,7.70%,15,0.00%,2776,6.40%,"36,158",83.10%
Duplin,747,1.50%,425,0.90%,11409,23.50%,283,0.60%,11581,23.90%,"24,474",50.40%
Durham,3183,1.00%,18385,5.60%,45013,13.80%,440,0.10%,112954,34.60%,"141,691",43.40%
Edgecombe,390,0.80%,180,0.40%,2699,5.60%,77,0.20%,27467,56.80%,"17,208",35.60%
Forsyth,3863,1.00%,10396,2.70%,53774,13.90%,691,0.20%,100076,26.00%,"212,677",55.20%
Franklin,771,1.10%,624,0.90%,6896,9.60%,88,0.10%,17829,24.90%,"44,722",62.40%
Gaston,1576,0.70%,4029,1.70%,19269,8.30%,176,0.10%,42358,18.30%,"159,418",69.10%
