month_start_date,jurisdiction,filings_count,percent_of_historical_average
1/1/2020,Mecklenburg,3335,118.73
2/1/2020,Mecklenburg,2767,112.29
3/1/2020,Mecklenburg,2179,109.2
4/1/2020,Mecklenburg,114,5.07
5/1/2020,Mecklenburg,232,8.89
6/1/2020,Mecklenburg,325,12.16
7/1/2020,Mecklenburg,793,28.05
8/1/2020,Mecklenburg,1168,42.26
9/1/2020,Mecklenburg,1593,58.51
10/1/2020,Mecklenburg,1537,54.88
11/1/2020,Mecklenburg,1192,48.34
12/1/2020,Mecklenburg,1386,54.36
1/1/2021,Mecklenburg,1164,41.44
2/1/2021,Mecklenburg,1095,44.44
3/1/2021,Mecklenburg,1156,57.93
4/1/2021,Mecklenburg,1024,45.58
5/1/2021,Mecklenburg,834,31.94
6/1/2021,Mecklenburg,1483,55.49
7/1/2021,Mecklenburg,1265,44.74
8/1/2021,Mecklenburg,1494,54.06
9/1/2021,Mecklenburg,1805,66.3
10/1/2021,Mecklenburg,1900,67.84
11/1/2021,Mecklenburg,2046,82.98
12/1/2021,Mecklenburg,2384,93.5
1/1/2022,Mecklenburg,2628,93.56
2/1/2022,Mecklenburg,2114,85.79
3/1/2022,Mecklenburg,2530,126.79
4/1/2022,Mecklenburg,2068,92.05
5/1/2022,Mecklenburg,2363,90.5
6/1/2022,Mecklenburg,2591,96.94
7/1/2022,Mecklenburg,2960,104.69
8/1/2022,Mecklenburg,3102,112.24
9/1/2022,Mecklenburg,3004,110.34
10/1/2022,Mecklenburg,3395,121.22
11/1/2022,Mecklenburg,2847,115.46
12/1/2022,Mecklenburg,3346,131.23
1/1/2023,Mecklenburg,3223,114.74
2/1/2023,Mecklenburg,3104,125.96
3/1/2023,Mecklenburg,2859,143.27
4/1/2023,Mecklenburg,2646,117.78
5/1/2023,Mecklenburg,3137,120.15
6/1/2023,Mecklenburg,3117,116.62
1/1/2020,Wake,1878,117.41
2/1/2020,Wake,1709,123.08
3/1/2020,Wake,933,83.34
4/1/2020,Wake,66,5.4
5/1/2020,Wake,160,11.67
6/1/2020,Wake,229,16.1
7/1/2020,Wake,562,35.57
8/1/2020,Wake,569,37.78
9/1/2020,Wake,818,52.88
