jurisdiction,year,total_evictions,months_reported,total_population,evictions_per_1000,count_black,count_hispanic,count_white,count_asian,count_native,count_pacific,count_other,count_multiracial,percent_black,percent_hispanic,percent_white,percent_asian,percent_native,percent_pacific,percent_other,percent_multiracial,is_complete_year,data_completeness
Mecklenburg,2020,16621,12,1000331,16.615500269410827,344243,148351,507637,100,0,0,0,0,31.5,13.6,46.4,0.7,0,0,0,0,true,100.0%
Mecklenburg,2021,17650,12,1085096,16.26584191629128,349838,152925,512279,70054,0,0,0,0,31.5,13.8,46.1,6.3,0,0,0,0,true,100.0%
Mecklenburg,2022,32948,12,1102566,29.883018340852157,355577,156095,516550,74344,0,0,0,0,31.5,13.8,45.8,6.6,0,0,0,0,true,100.0%
Mecklenburg,2023,18086,6,1095149,16.514647778521464,355517,158351,508257,73024,0,0,0,0,31.7,14.1,45.3,6.5,0,0,0,0,false,50.0%
Wake,2020,9040,12,984438,9.182904357613175,218080,112797,653485,76,0,0,0,0,20,10.3,59.8,0.4,0,0,0,0,true,100.0%
Wake,2021,9596,12,1085377,8.841167631154889,222192,115531,662234,85420,0,0,0,0,20,10.4,59.6,7.7,0,0,0,0,true,100.0%
Wake,2022,15527,12,1104075,14.06335620315649,224084,117123,671183,91685,0,0,0,0,19.8,10.3,59.3,8.1,0,0,0,0,true,100.0%
Wake,2023,10937,6,1120561,9.760289712028172,228374,120466,676444,95277,0,0,0,0,19.9,10.5,58.8,8.3,0,0,0,0,false,50.0%
Guilford,2020,8125,12,492264,16.505371101685277,182350,43496,265975,443,0,0,0,0,34.2,8.2,49.8,0.9,0,0,0,0,true,100.0%
Guilford,2021,8143,12,523497,15.55500795611054,184696,45191,265292,28318,0,0,0,0,34.4,8.4,49.4,5.3,0,0,0,0,true,100.0%
Guilford,2022,15348,12,526432,29.154762628411646,187364,46500,263136,29432,0,0,0,0,34.7,8.6,48.7,5.4,0,0,0,0,true,100.0%
Guilford,2023,8693,6,527847,16.468787356942446,189869,48247,259977,29754,0,0,0,0,35,8.9,47.9,5.5,0,0,0,0,false,50.0%
Forsyth,2020,4914,12,362065,13.572148647342328,97867,49428,214299,471,0,0,0,0,25.8,13,56.5,0.7,0,0,0,0,true,100.0%
Forsyth,2021,4871,12,374392,13.010427573238744,98623,50828,215155,9786,0,0,0,0,25.8,13.3,56.3,2.6,0,0,0,0,true,100.0%
Forsyth,2022,9723,12,375670,25.881757925839167,99196,52007,214211,10256,0,0,0,0,25.8,13.5,55.8,2.7,0,0,0,0,true,100.0%
Forsyth,2023,5282,6,376923,14.013472247647398,100076,53774,212677,10396,0,0,0,0,26,13.9,55.2,2.7,0,0,0,0,false,50.0%
Cumberland,2020,5156,12,304655,16.924061643498383,123373,39430,141651,201,0,0,0,0,37.1,11.9,42.6,0.7,0,0,0,0,true,100.0%
Cumberland,2021,4954,12,316622,15.646417494678197,124839,40572,142107,9104,0,0,0,0,37.2,12.1,42.4,2.7,0,0,0,0,true,100.0%
Cumberland,2022,8217,12,316810,25.936681291625895,126288,41625,139754,9143,0,0,0,0,37.5,12.4,41.5,2.7,0,0,0,0,true,100.0%
Cumberland,2023,4329,6,315428,13.724209645307328,126643,42466,137315,9004,0,0,0,0,37.7,12.7,40.9,2.7,0,0,0,0,false,50.0%
Durham,2020,3859,12,292506,13.192891769741475,113927,43428,134987,164,0,0,0,0,36,13.7,42.6,0.3,0,0,0,0,true,100.0%
Durham,2021,3117,12,314155,9.921853861947127,114467,43928,138175,17585,0,0,0,0,35.6,13.7,43,5.5,0,0,0,0,true,100.0%
Durham,2022,6716,12,319412,21.0261355240254,114528,44737,141597,18550,0,0,0,0,35,13.7,43.3,5.7,0,0,0,0,true,100.0%
Durham,2023,3476,6,318043,10.929339743368034,112954,45013,141691,18385,0,0,0,0,34.6,13.8,43.4,5.6,0,0,0,0,false,50.0%
Pitt,2020,2989,12,172320,17.345636025998143,62987,11420,97777,136,0,0,0,0,35,6.3,54.3,0.7,0,0,0,0,true,100.0%
Pitt,2021,2007,12,176819,11.350590151510866,63525,11730,97722,3842,0,0,0,0,35.1,6.5,54.1,2.1,0,0,0,0,true,100.0%
Pitt,2022,5628,12,178875,31.463312368972748,64725,12138,98243,3769,0,0,0,0,35.4,6.6,53.7,2.1,0,0,0,0,true,100.0%
Pitt,2023,2819,6,168173,16.76250052029755,61457,11817,91369,3530,0,0,0,0,35.7,6.9,53.1,2.1,0,0,0,0,false,50.0%
Gaston,2020,2684,12,214190,12.530930482282086,37921,16180,160046,43,0,0,0,0,17,7.3,71.8,0.4,0,0,0,0,true,100.0%
Gaston,2021,2505,12,219257,11.424948804371127,38879,17014,159710,3654,0,0,0,0,17.3,7.6,71.1,1.6,0,0,0,0,true,100.0%
Gaston,2022,3786,12,221110,17.12269910904075,40109,17819,159337,3845,0,0,0,0,17.7,7.9,70.3,1.7,0,0,0,0,true,100.0%
Gaston,2023,2374,6,225074,10.547642108817545,42358,19269,159418,4029,0,0,0,0,18.3,8.3,69.1,1.7,0,0,0,0,false,50.0%
Cabarrus,2020,1802,12,198036,9.099355672705972,38046,22786,136604,600,0,0,0,0,18,10.8,64.6,0.7,0,0,0,0,true,100.0%
Cabarrus,2021,1801,12,211666,8.50868821634084,40180,24034,137189,10263,0,0,0,0,18.6,11.1,63.4,4.7,0,0,0,0,true,100.0%
Cabarrus,2022,3667,12,216295,16.95369749647472,42497,24944,137256,11598,0,0,0,0,19.2,11.3,62,5.2,0,0,0,0,true,100.0%
Cabarrus,2023,2053,6,225851,9.09006380312684,46189,27043,139332,13287,0,0,0,0,20,11.7,60.2,5.7,0,0,0,0,false,50.0%
Nash,2020,2294,10,94716,24.219772794459224,38013,6658,46418,3627,0,0,0,0,40.4,7.1,49.4,1.6,0,0,0,0,false,83.3%
Nash,2021,1167,12,92283,12.645882773641949,38298,6940,46140,905,0,0,0,0,40.6,7.4,48.9,1,0,0,0,0,true,100.0%
Nash,2022,3224,12,92793,34.744000086213404,39080,7052,45614,1047,0,0,0,0,41.2,7.4,48.1,1.1,0,0,0,0,true,100.0%
Nash,2023,1903,6,93050,20.451370231058572,39382,7379,45188,1101,0,0,0,0,41.4,7.8,47.5,1.2,0,0,0,0,false,50.0%
Alamance,2020,1608,12,160480,10.019940179461615,33111,21499,105484,386,0,0,0,0,19.9,12.9,63.4,1,0,0,0,0,true,100.0%
