year,county_fips,county_name,avg_annual_pay,avg_annual_weekly_wage,avg_monthly_rent
2020,37001,"Alamance County, North Carolina","45,943",884,999.0447005816359
2020,37003,"Alexander County, North Carolina","37,460",720,
2020,37005,"Alleghany County, North Carolina","35,230",678,
2020,37007,"Anson County, North Carolina","38,421",739,
2020,37009,"Ashe County, North Carolina","38,323",737,
2020,37011,"Avery County, North Carolina","36,966",711,
2020,37013,"Beaufort County, North Carolina","40,649",782,
2020,37015,"Bertie County, North Carolina","36,406",700,
2020,37017,"Bladen County, North Carolina","40,296",775,
2020,37019,"Brunswick County, North Carolina","42,900",825,1310.3040228292268
2020,37021,"Buncombe County, North Carolina","48,282",928,1286.4513896122812
2020,37023,"Burke County, North Carolina","40,243",774,
2020,37025,"Cabarrus County, North Carolina","46,165",888,1271.060790732699
2020,37027,"Caldwell County, North Carolina","42,679",821,
2020,37029,"Camden County, North Carolina","41,109",791,
2020,37031,"Carteret County, North Carolina","38,368",738,
2020,37033,"Caswell County, North Carolina","39,611",762,
2020,37035,"Catawba County, North Carolina","46,630",897,
2020,37037,"Chatham County, North Carolina","41,958",807,
2020,37039,"Cherokee County, North Carolina","36,497",702,
2020,37041,"Chowan County, North Carolina","39,649",762,
2020,37043,"Clay County, North Carolina","35,235",678,
2020,37045,"Cleveland County, North Carolina","43,469",836,
2020,37047,"Columbus County, North Carolina","38,384",738,
2020,37049,"Craven County, North Carolina","47,706",917,
2020,37051,"Cumberland County, North Carolina","46,483",894,931.7330363119
2020,37053,"Currituck County, North Carolina","38,174",734,
2020,37055,"Dare County, North Carolina","38,233",735,
2020,37057,"Davidson County, North Carolina","43,676",840,987.8512366670052
2020,37059,"Davie County, North Carolina","41,668",801,
2020,37061,"Duplin County, North Carolina","39,226",754,
2020,37063,"Durham County, North Carolina","79,768","1,534",1259.6209411977209
2020,37065,"Edgecombe County, North Carolina","40,064",770,
2020,37067,"Forsyth County, North Carolina","55,574","1,069",1069.3442397337376
2020,37069,"Franklin County, North Carolina","47,344",910,
2020,37071,"Gaston County, North Carolina","44,008",846,1181.221851124362
2020,37073,"Gates County, North Carolina","40,759",784,
2020,37075,"Graham County, North Carolina","39,098",752,
2020,37077,"Granville County, North Carolina","48,731",937,
2020,37079,"Greene County, North Carolina","38,529",741,
2020,37081,"Guilford County, North Carolina","52,906","1,017",1006.8895300734001
2020,37083,"Halifax County, North Carolina","37,572",723,
2020,37085,"Harnett County, North Carolina","39,031",751,
2020,37087,"Haywood County, North Carolina","39,957",768,
2020,37089,"Henderson County, North Carolina","43,301",833,
2020,37091,"Hertford County, North Carolina","41,650",801,
2020,37093,"Hoke County, North Carolina","38,024",731,
2020,37095,"Hyde County, North Carolina","36,110",694,
2020,37097,"Iredell County, North Carolina","54,752","1,053",1274.6186145759266
2020,37099,"Jackson County, North Carolina","42,440",816,
2020,37101,"Johnston County, North Carolina","44,325",852,1340.3048723794584
2020,37103,"Jones County, North Carolina","37,485",721,
2020,37105,"Lee County, North Carolina","43,965",845,
2020,37107,"Lenoir County, North Carolina","42,214",812,
2020,37109,"Lincoln County, North Carolina","44,560",857,
2020,37111,"McDowell County, North Carolina","39,660",763,
2020,37113,"Macon County, North Carolina","37,826",727,
2020,37115,"Madison County, North Carolina","38,193",734,
2020,37117,"Martin County, North Carolina","34,168",657,
2020,37119,"Mecklenburg County, North Carolina","73,727","1,418",1324.2843509788581
2020,37121,"Mitchell County, North Carolina","40,644",782,
2020,37123,"Montgomery County, North Carolina","41,126",791,
2020,37125,"Moore County, North Carolina","44,994",865,1288.5738681162022
2020,37127,"Nash County, North Carolina","43,652",839,
2020,37129,"New Hanover County, North Carolina","51,913",998,1240.1481604479038
2020,37131,"Northampton County, North Carolina","41,206",792,
2020,37133,"Onslow County, North Carolina","39,231",754,995.6257301713991
2020,37135,"Orange County, North Carolina","64,430","1,239",1365.1676280206907
2020,37137,"Pamlico County, North Carolina","34,292",659,
2020,37139,"Pasquotank County, North Carolina","42,062",809,
2020,37141,"Pender County, North Carolina","38,790",746,
2020,37143,"Perquimans County, North Carolina","37,927",729,
2020,37145,"Person County, North Carolina","44,004",846,
2020,37147,"Pitt County, North Carolina","49,371",949,1047.0036896082568
2020,37149,"Polk County, North Carolina","35,874",690,
2020,37151,"Randolph County, North Carolina","40,106",771,
2020,37153,"Richmond County, North Carolina","38,202",735,
2020,37155,"Robeson County, North Carolina","38,266",736,
2020,37157,"Rockingham County, North Carolina","38,219",735,
2020,37159,"Rowan County, North Carolina","48,067",924,862.2386304830738
2020,37161,"Rutherford County, North Carolina","38,903",748,
2020,37163,"Sampson County, North Carolina","41,231",793,
2020,37165,"Scotland County, North Carolina","40,795",785,
2020,37167,"Stanly County, North Carolina","39,424",758,
2020,37169,"Stokes County, North Carolina","35,080",675,
2020,37171,"Surry County, North Carolina","40,347",776,
2020,37173,"Swain County, North Carolina","39,237",755,
2020,37175,"Transylvania County, North Carolina","38,869",747,
2020,37177,"Tyrrell County, North Carolina","35,100",675,
2020,37179,"Union County, North Carolina","48,426",931,1517.1129733643795
2020,37181,"Vance County, North Carolina","39,298",756,
2020,37183,"Wake County, North Carolina","65,054","1,251",1303.594022602975
2020,37185,"Warren County, North Carolina","35,984",692,
2020,37187,"Washington County, North Carolina","41,719",802,
2020,37189,"Watauga County, North Carolina","40,270",774,
2020,37191,"Wayne County, North Carolina","41,554",799,
2020,37193,"Wilkes County, North Carolina","39,966",769,
2020,37195,"Wilson County, North Carolina","47,459",913,
2020,37197,"Yadkin County, North Carolina","38,832",747,
2020,37199,"Yancey County, North Carolina","39,769",765,
2020,37999,"Unknown Or Undefined, North Carolina","93,578","1,800",
2021,37001,"Alamance County, North Carolina","48,729",937,1127.2914466308187
2021,37003,"Alexander County, North Carolina","39,557",761,
2021,37005,"Alleghany County, North Carolina","37,230",716,
2021,37007,"Anson County, North Carolina","40,416",777,
2021,37009,"Ashe County, North Carolina","39,171",753,
2021,37011,"Avery County, North Carolina","38,430",739,
2021,37013,"Beaufort County, North Carolina","41,865",805,
2021,37015,"Bertie County, North Carolina","38,457",740,
2021,37017,"Bladen County, North Carolina","40,601",781,
2021,37019,"Brunswick County, North Carolina","45,396",873,1477.3944721510832
2021,37021,"Buncombe County, North Carolina","50,435",970,1454.6926021400689
2021,37023,"Burke County, North Carolina","42,631",820,
2021,37025,"Cabarrus County, North Carolina","47,473",913,1418.5665652971336
2021,37027,"Caldwell County, North Carolina","45,780",880,
2021,37029,"Camden County, North Carolina","45,160",868,
2021,37031,"Carteret County, North Carolina","40,500",779,1426.3023589377642
2021,37033,"Caswell County, North Carolina","41,719",802,
2021,37035,"Catawba County, North Carolina","50,119",964,1267.423948344305
2021,37037,"Chatham County, North Carolina","44,288",852,
2021,37039,"Cherokee County, North Carolina","38,506",740,
2021,37041,"Chowan County, North Carolina","42,153",811,
2021,37043,"Clay County, North Carolina","39,139",753,
2021,37045,"Cleveland County, North Carolina","45,186",869,
2021,37047,"Columbus County, North Carolina","40,164",772,
2021,37049,"Craven County, North Carolina","49,116",945,1131.044830878648
2021,37051,"Cumberland County, North Carolina","48,642",935,1093.5938614725085
