county_name,start_wage,end_wage,wage_growth_pct,rent_growth_pct,gap_pts
"Alamance County, North Carolina",45943,52502,14.276385956511328,44.69099364409831,30.414607687586987
"Cumberland County, North Carolina",46483,55785,20.011617150356045,46.45288041952645,26.441263269170406
"Rowan County, North Carolina",48067,57503,19.630931824328542,43.9121355620226,24.281203737694057
"Guilford County, North Carolina",52906,61546,16.33085094318225,39.170874327167375,22.840023383985127
"Onslow County, North Carolina",39231,46885,19.510081313247177,42.2947137808707,22.784632467623524
"Forsyth County, North Carolina",55574,66257,19.22301795803793,39.48263520183626,20.25961724379833
"Buncombe County, North Carolina",48282,58785,21.75344849012054,41.36494239009409,19.611493899973553
"Brunswick County, North Carolina",42900,51701,20.515151515151516,39.433802131578624,18.918650616427108
"Pitt County, North Carolina",49371,59866,21.257418322497013,39.7769236941645,18.51950537166749
"New Hanover County, North Carolina",51913,61611,18.681255176930634,36.66764930539801,17.986394128467374
"Iredell County, North Carolina",54752,63307,15.625,33.368456558131804,17.743456558131804
"Moore County, North Carolina",44994,54059,20.147130728541583,37.379996143205844,17.23286541466426
"Gaston County, North Carolina",44008,54211,23.184421014361025,37.43510666976287,14.250685655401842
"Cabarrus County, North Carolina",46165,56529,22.449907938914762,34.22852807157754,11.77862013266278
"Mecklenburg County, North Carolina",73727,88111,19.509813229888643,31.148614504667922,11.63880127477928
"Davidson County, North Carolina",43676,54593,24.995420826082977,36.36953435531349,11.374113529230513
"Wake County, North Carolina",65054,76807,18.06652934485197,28.378891942682216,10.312362597830248
"Orange County, North Carolina",64430,79229,22.96911376687878,30.672960978934437,7.703847212055656
"Johnston County, North Carolina",44325,55305,24.771573604060915,31.807110833736772,7.035537229675857
"Union County, North Carolina",48426,61500,26.99789369347045,33.63200568628215,6.6341119928117
"Durham County, North Carolina",79768,98601,23.609718182729917,28.641599370699506,5.031881187969589
