month_start_date,jurisdiction,filings_count,percent_of_historical_average,defaults_count,defaults_comparison
2016-01-01 12:00:00,North Carolina,15149,95.73,,
2016-02-01 12:00:00,North Carolina,11982,89.79,,
2016-03-01 12:00:00,North Carolina,10640,95.84,,
2016-04-01 12:00:00,North Carolina,12538,100.41,,
2016-05-01 12:00:00,North Carolina,14042,97.45,,
2016-06-01 12:00:00,North Carolina,14449,97.61,,
2016-07-01 12:00:00,North Carolina,14829,94.52,,
2016-08-01 12:00:00,North Carolina,15283,99.37,,
2016-09-01 12:00:00,North Carolina,14510,98.17,,
2016-10-01 12:00:00,North Carolina,14874,97.18,,
2016-11-01 12:00:00,North Carolina,13266,99.03,,
2016-12-01 12:00:00,North Carolina,13160,96.89,,
2017-01-01 12:00:00,North Carolina,15658,98.94,,
2017-02-01 12:00:00,North Carolina,13126,98.36,,
2017-03-01 12:00:00,North Carolina,10989,98.98,,
2017-04-01 12:00:00,North Carolina,11737,94.0,,
2017-05-01 12:00:00,North Carolina,13966,96.93,,
2017-06-01 12:00:00,North Carolina,14977,101.17,,
2017-07-01 12:00:00,North Carolina,14941,95.24,,
2017-08-01 12:00:00,North Carolina,15219,98.95,,
2017-09-01 12:00:00,North Carolina,14934,101.04,,
2017-10-01 12:00:00,North Carolina,15054,98.36,,
2017-11-01 12:00:00,North Carolina,13192,98.48,,
2017-12-01 12:00:00,North Carolina,12962,95.43,,
2018-01-01 12:00:00,North Carolina,15915,100.57,,
2018-02-01 12:00:00,North Carolina,13812,103.5,,
2018-03-01 12:00:00,North Carolina,11258,101.41,,
2018-04-01 12:00:00,North Carolina,12798,102.49,,
2018-05-01 12:00:00,North Carolina,14304,99.27,,
2018-06-01 12:00:00,North Carolina,14458,97.67,,
2018-07-01 12:00:00,North Carolina,16057,102.35,,
2018-08-01 12:00:00,North Carolina,15688,102.0,,
2018-09-01 12:00:00,North Carolina,14172,95.89,,
2018-10-01 12:00:00,North Carolina,16105,105.22,,
2018-11-01 12:00:00,North Carolina,14321,106.9,,
2018-12-01 12:00:00,North Carolina,13387,98.56,,
2019-01-01 12:00:00,North Carolina,16580,104.77,,
2019-02-01 12:00:00,North Carolina,14459,108.35,,
2019-03-01 12:00:00,North Carolina,11520,103.77,,
2019-04-01 12:00:00,North Carolina,12873,103.1,,
2019-05-01 12:00:00,North Carolina,15324,106.35,,
2019-06-01 12:00:00,North Carolina,15329,103.55,,
2019-07-01 12:00:00,North Carolina,17050,108.68,,
2019-08-01 12:00:00,North Carolina,15896,103.36,,
2019-09-01 12:00:00,North Carolina,15754,106.59,,
2019-10-01 12:00:00,North Carolina,15877,103.73,,
2019-11-01 12:00:00,North Carolina,13447,100.38,,
2019-12-01 12:00:00,North Carolina,14603,107.51,,
2020-01-01 12:00:00,North Carolina,17115,108.15,,
2020-02-01 12:00:00,North Carolina,15191,113.84,,
2020-03-01 12:00:00,North Carolina,8403,75.69,,
2020-04-01 12:00:00,North Carolina,929,7.44,,
2020-05-01 12:00:00,North Carolina,2984,20.71,,
2020-06-01 12:00:00,North Carolina,3670,24.79,,
2020-07-01 12:00:00,North Carolina,7498,47.79,,
2020-08-01 12:00:00,North Carolina,8287,53.88,,
2020-09-01 12:00:00,North Carolina,8930,60.42,,
2020-10-01 12:00:00,North Carolina,8618,56.31,,
2020-11-01 12:00:00,North Carolina,5310,39.64,,
2020-12-01 12:00:00,North Carolina,5785,42.59,,
2021-01-01 12:00:00,North Carolina,5286,33.4,,
2021-02-01 12:00:00,North Carolina,5281,39.57,,
2021-03-01 12:00:00,North Carolina,5995,54.0,,
2021-04-01 12:00:00,North Carolina,4802,38.46,,
2021-05-01 12:00:00,North Carolina,4804,33.34,,
2021-06-01 12:00:00,North Carolina,6602,44.6,,
2021-07-01 12:00:00,North Carolina,6971,44.43,,
2021-08-01 12:00:00,North Carolina,7649,49.73,,
2021-09-01 12:00:00,North Carolina,9794,66.27,,
2021-10-01 12:00:00,North Carolina,10061,65.73,,
2021-11-01 12:00:00,North Carolina,9292,69.36,,
2021-12-01 12:00:00,North Carolina,9280,68.32,,
2022-01-01 12:00:00,North Carolina,11018,69.62,,
2022-02-01 12:00:00,North Carolina,10693,80.13,,
2022-03-01 12:00:00,North Carolina,11602,104.51,,
2022-04-01 12:00:00,North Carolina,11097,88.87,,
2022-05-01 12:00:00,North Carolina,13090,90.85,,
2022-06-01 12:00:00,North Carolina,13687,92.46,,
2022-07-01 12:00:00,North Carolina,14471,92.24,,
2022-08-01 12:00:00,North Carolina,15308,99.53,,
2022-09-01 12:00:00,North Carolina,13987,94.63,,
2022-10-01 12:00:00,North Carolina,14889,97.28,,
2022-11-01 12:00:00,North Carolina,13216,98.65,,
2022-12-01 12:00:00,North Carolina,13774,101.41,,
2023-01-01 12:00:00,North Carolina,16074,101.57,,
2023-02-01 12:00:00,North Carolina,13398,100.4,,
2023-03-01 12:00:00,North Carolina,13670,123.13,,
2023-04-01 12:00:00,North Carolina,12811,102.6,,
2023-05-01 12:00:00,North Carolina,15907,110.4,,
2023-06-01 12:00:00,North Carolina,16165,109.2,,
